holedis,avg_strokes,count
2.5483870967741935,1.6774193548387097,31
5.275956284153006,2.0956284153005464,366
8.004815409309792,2.1524879614767256,623
10.83728036669213,2.2910618792971733,1309
14.541935483870967,2.4055299539170507,1085
17.268131868131867,2.367032967032967,455
19.984806629834253,2.501381215469613,724
22.89855072463768,2.608695652173913,207
25.249443207126948,2.5902004454342986,449
29.73314606741573,2.710674157303371,356
32.23529411764706,2.5294117647058822,119
34.916,2.756,250
37.87096774193548,2.6236559139784945,93
40.38815789473684,2.825657894736842,304
44.5531914893617,2.821276595744681,235
47.2,2.7363636363636363,110
49.873831775700936,2.864485981308411,214
